gpu,batch,dtype,mode,num_chunks,median_us,p95_us,stdev_us,iterations
NVIDIA B300 SXM6 AC,1,torch.bfloat16,eager,16,43.80800016224384,50.11200159788132,2.4455966835811433,200
NVIDIA B300 SXM6 AC,1,torch.bfloat16,graph,16,8.960000239312649,10.143999941647053,0.5264163805405087,200
NVIDIA B300 SXM6 AC,8,torch.bfloat16,eager,8,43.42399910092354,50.20799860358238,2.3610318671954857,200
NVIDIA B300 SXM6 AC,8,torch.bfloat16,graph,8,12.959999963641167,13.279999606311321,0.26312288710720405,200
NVIDIA B300 SXM6 AC,16,torch.bfloat16,eager,4,44.015999883413315,52.032001316547394,3.2280985512918456,200
NVIDIA B300 SXM6 AC,16,torch.bfloat16,graph,4,16.96000061929226,17.376000061631203,0.756741800859972,200
