gpu,batch,chunks,is_upstream_default,partial_median_us,merge_median_us,total_median_us,graph_median_us,merge_fraction,total_p95_us,graph_p95_us,total_stdev_us,graph_stdev_us,max_abs_error,cosine,iterations
NVIDIA B300 SXM6 AC,1,1,False,76.06399804353714,6.144000217318535,82.20800012350082,56.15999922156334,0.07473725438021145,86.46400272846222,57.56799876689911,1.5929485461585347,0.7072289177216219,0.000244140625,0.9999970197677612,200
NVIDIA B300 SXM6 AC,1,2,False,51.263999193906784,6.144000217318535,57.440001517534256,31.5839983522892,0.10696378925830989,61.72800064086914,32.86400064826012,1.8607750434498003,0.6496770110753638,0.000244140625,0.9999948740005493,200
NVIDIA B300 SXM6 AC,1,4,False,38.36800158023834,8.704000152647495,46.959999948740005,19.45599913597107,0.1853492368430259,54.91200089454651,20.864000543951988,2.850868858330001,0.7231870425096221,0.000244140625,0.9999951720237732,200
NVIDIA B300 SXM6 AC,1,8,False,31.856000423431396,14.879999682307243,46.62400111556053,14.047999866306782,0.3191489217200863,55.135998874902725,14.751999638974667,3.5158418040772315,0.8422614822676303,0.000244140625,0.9999952912330627,200
NVIDIA B300 SXM6 AC,1,16,True,29.279999434947968,17.5199992954731,46.86399921774864,10.960000101476908,0.3738477208073572,54.71999943256378,11.96799986064434,2.628970154842786,0.6756938860140563,0.000244140625,0.9999952912330627,200
NVIDIA B300 SXM6 AC,4,1,False,76.62400230765343,6.144000217318535,82.78399705886841,57.95200169086456,0.07421724530828687,88.0960002541542,58.30400064587593,3.2110115666810377,0.4213827904115431,0.00048828125,0.9999971389770508,200
NVIDIA B300 SXM6 AC,4,2,False,51.19999870657921,6.144000217318535,57.40800127387047,33.1839993596077,0.10702341278192186,61.72800064086914,33.59999880194664,2.267012807353865,0.9537363935947621,0.00048828125,0.9999951124191284,200
NVIDIA B300 SXM6 AC,4,4,False,38.94399851560593,8.559999987483025,47.31199890375137,21.023999899625778,0.1809266187399303,54.46400120854378,21.376000717282295,3.152750895689143,0.8255344821840528,0.00048828125,0.9999954700469971,200
NVIDIA B300 SXM6 AC,4,8,False,32.336000353097916,14.73599998280406,46.879999339580536,14.84800036996603,0.3143344750511234,53.79199981689453,15.32800029963255,2.300221553731528,0.5320964304320809,0.00048828125,0.9999955296516418,200
NVIDIA B300 SXM6 AC,4,16,True,31.775999814271927,15.231999568641186,46.94399982690811,13.055999763309956,0.3244717029823749,55.64799904823303,14.368000440299511,4.231188878777573,0.5893878965165339,0.00048828125,0.9999954700469971,200
NVIDIA B300 SXM6 AC,8,1,False,76.7040029168129,6.144000217318535,82.84799754619598,57.88800120353699,0.0741599121196942,86.71999722719193,58.559998869895935,1.7672418362400684,0.629360897790899,0.00048828125,0.9999969601631165,200
NVIDIA B300 SXM6 AC,8,2,False,51.42400041222572,6.144000217318535,57.5999990105629,33.344000577926636,0.10666667227184892,60.19200012087822,33.76000002026558,1.6444824089281236,0.44296315384098833,0.00048828125,0.9999949932098389,200
NVIDIA B300 SXM6 AC,8,4,False,39.21600058674812,7.071999832987785,46.512000262737274,20.800000056624413,0.1520467791761143,52.25599929690361,21.43999934196472,2.4057927234702148,0.7197162331865952,0.00048828125,0.999995231628418,200
NVIDIA B300 SXM6 AC,8,8,True,36.0959991812706,10.863999836146832,46.92799970507622,18.432000651955605,0.23150357791558862,53.31199988722801,19.13600042462349,2.239157476131564,0.8043565806738858,0.00048828125,0.9999952912330627,200
NVIDIA B300 SXM6 AC,8,16,False,37.728000432252884,8.608000352978706,46.38399928808212,19.328000023961067,0.18558124536687895,52.06400156021118,20.640000700950623,2.023792612438255,0.6873678333182875,0.00048828125,0.9999954104423523,200
NVIDIA B300 SXM6 AC,16,1,False,77.44000107049942,6.175999995321035,83.66400003433228,57.98399820923805,0.07381908578106065,89.79199826717377,58.46399813890457,2.08494297382028,0.5840350862099376,0.00048828125,0.999997079372406,200
NVIDIA B300 SXM6 AC,16,2,False,52.191998809576035,6.144000217318535,58.36800113320351,33.39200094342232,0.10526315957432075,62.39999830722809,34.4959981739521,3.5564174258923527,0.48565582824013065,0.00048828125,0.9999948143959045,200
NVIDIA B300 SXM6 AC,16,4,True,46.431999653577805,6.144000217318535,52.62399837374687,27.35999971628189,0.11675282014267585,58.78400057554245,28.76799926161766,1.9338848456788753,0.6164016678617226,0.00048828125,0.999995231628418,200
NVIDIA B300 SXM6 AC,16,8,False,47.31199890375137,8.191999979317188,55.48800155520439,29.440000653266907,0.14763552028751764,59.487998485565186,30.7839997112751,2.0546702367592005,0.5591371577983975,0.00048828125,0.9999953508377075,200
NVIDIA B300 SXM6 AC,16,16,False,50.31999945640564,8.191999979317188,58.52799862623215,33.376000821590424,0.13996719812055128,63.71200084686279,33.824000507593155,1.803367495944113,0.4203464900117943,0.00048828125,0.9999954700469971,200
